Player,Link
,Data processed by Daubit. https://daubit.org/
,Data used from https://www.otmnft.com/
,Generated 4.5.2022
Aari McDonald,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+319631ef-53e8-4191-8a5d-1199a8fbaaa2
Aaron Wiggins,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+7e816dea-41d7-4b13-a550-cd983d42d16c
Al Harrington,https://www.nbatopshot.com/listings/p2p/9e89b552-0236-4ffc-ab6b-8cf7c27d46b4+44e3fbea-f0af-4a83-984f-0caba958dff5
Alec Burks,https://www.nbatopshot.com/listings/p2p/208ae30a-a4fe-42d4-9e51-e6fd1ad2a7a9+42cd9426-1f34-4d3f-a393-c70ba09a74eb
Allisha Gray,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+c0f52795-985b-4dfd-beaa-4c13849494f2
Amanda Zahui B,https://www.nbatopshot.com/listings/p2p/391e23a0-f7b6-469e-b1d0-fc24caaebd4d+872e15e2-2e3e-4450-bf25-5b27b841d136
Amar'e Stoudemire,https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+bb2179d6-8f5c-48eb-8b42-08be2b88f5fc
Amir Coffey,https://www.nbatopshot.com/listings/p2p/e7b9646c-9997-46c8-909f-2a2b67389023+d96e5d80-ec43-464a-bfad-6be2f6d85c88
Anderson Varejão,https://www.nbatopshot.com/listings/p2p/827f9328-03aa-4cb5-97cd-7b5f2c2386fd+878aa6c2-2a72-4037-a65f-056fc9ad2d7a
Andre Miller,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+311b4d2e-c58e-420c-9dd7-ca4abaf06f00
Angel McCoughtry,https://www.nbatopshot.com/listings/p2p/cbf23da5-c5ad-44bb-b307-9f1ea0163d32+b1d1d382-40bb-4b79-a6c2-5f77d2d1482d
Antawn Jamison,https://www.nbatopshot.com/listings/p2p/7b74be80-e2c9-4044-91b5-bbfd74f1dc5e+285c84c3-e10f-45f8-b9cb-e5df56d9f080
